	Unnamed: 0	lemme	freqlemlivres	freqlemlivres_cumsum	freqlemlivres_cumsumpercent
108	38372	dont	960.34	525636.9999999999	52.56369999999999
109	135061	vers	956.15	526593.1499999999	52.65931499999999
110	124537	suivre	949.12	527542.2699999999	52.75422699999999
111	33376	croire	947.23	528489.4999999999	52.84894999999999
112	120214	si	933.99	529423.4899999999	52.94234899999999
113	120213	si	924.93	530348.4199999999	53.03484199999999
114	66116	heure	924.05	531272.47	53.127247
115	133383	tête	923.45	532195.9199999999	53.21959199999999
116	120042	seul	915.27	533111.19	53.311119
117	38314	donner	896.01	534007.2	53.40071999999999
118	76606	leurs	886.55	534893.75	53.489375
119	11321	autre	870.14	535763.89	53.576389
120	94030	penser	869.8	536633.6900000001	53.663368999999996
121	135478	vie	853.31	537487.0000000001	53.74870000000002
122	75654	laisser	851.55	538338.5500000003	53.83385500000002
123	130060	tout	838.04	539176.5900000002	53.91765900000002
124	32142	coup	837.7	540014.2900000003	54.001429000000016
125	102621	puis	836.42	540850.7100000002	54.08507100000002
126	51248	entre	833.99	541684.7000000002	54.16847000000002
127	7977	après	821.55	542506.2500000002	54.25062500000002
128	86420	même	804.8	543311.0500000003	54.33110500000003
129	3967	aimer	795.61	544106.6600000003	54.41066600000003
130	108620	rester	793.78	544900.4400000003	54.49004400000002
131	132076	trop	790.0	545690.4400000003	54.56904400000003
132	15807	bon	789.66	546480.1000000003	54.648010000000035
133	126655	t'	779.93	547260.0300000004	54.72600300000004
134	127756	te	774.32	548034.3500000003	54.803435000000036
135	85562	mère	761.28	548795.6300000004	54.879563000000026
136	22175	cela	741.82	549537.4500000003	54.953745000000026
137	83642	monde	741.35	550278.8000000003	55.02788000000002
138	127943	tenir	741.22	551020.0200000004	55.10200200000003
139	88189	nuit	738.24	551758.2600000002	55.17582600000002
140	104088	quelques	732.57	552490.8300000002	55.24908300000002
141	49442	enfant	725.68	553216.5100000002	55.32165100000002
142	103140	père	723.51	553940.0200000004	55.39400200000002
143	8714	arriver	723.04	554663.0600000003	55.46630600000003
144	50919	entendre	719.12	555382.1800000003	55.53821800000003
145	119602	sentir	718.78	556100.9600000003	55.61009600000003
146	83402	moins	718.18	556819.1400000004	55.68191400000004
147	10374	attendre	706.69	557525.8300000003	55.75258300000003
148	42764	déjà	702.23	558228.0600000003	55.82280600000003
149	95018	peut-être	697.97	558926.0300000003	55.89260300000003
150	4031	air	690.81	559616.8400000003	55.96168400000003
151	36050	devant	690.34	560307.1800000003	56.03071800000003
152	83574	moment	688.24	560995.4200000003	56.09954200000003
153	5700	an	685.81	561681.2300000003	56.16812300000003
154	87913	notre	680.68	562361.9100000004	56.23619100000004
155	23784	chez	680.54	563042.4500000004	56.304245000000044
156	99406	premier	672.57	563715.0200000004	56.371502000000035
157	87206	ni	662.36	564377.3800000004	56.43773800000004
158	11324	autre	661.82	565039.2000000003	56.50392000000003
159	131965	trois	660.34	565699.5400000003	56.56995400000002
160	90845	oui	637.57	566337.1100000002	56.63371100000002
161	29146	connaître	629.26	566966.3700000002	56.69663700000002
162	121717	sortir	627.57	567593.9400000002	56.75939400000002
163	13970	beau	620.07	568214.0100000001	56.821401000000016
164	98384	porte	617.43	568831.4400000002	56.883144000000016
165	27847	comprendre	614.8	569446.2400000002	56.94462400000002
166	136388	voix	612.7	570058.9400000002	57.00589400000002
167	47280	elles	605.14	570664.0800000002	57.06640800000002
168	56554	fille	592.23	571256.3100000003	57.12563100000002
169	30459	contre	591.15	571847.4600000002	57.18474600000002
170	87831	nos	579.19	572426.65	57.24266500000002
171	79218	maison	575.34	573001.9900000001	57.300199000000006
172	11465	avant	574.32	573576.31	57.35763100000001
173	119504	sembler	572.84	574149.15	57.414915
174	74407	jeune	569.19	574718.34	57.471834
175	34924	côté	566.49	575284.83	57.528483
176	135928	visage	565.0	575849.83	57.584983
177	94973	peu	563.58	576413.4099999999	57.64134099999999
178	114034	rue	562.97	576976.3799999999	57.69763799999999
